# conf,v-duration,v-total-requests,v-success-num-requests,v-success-perc-requests,v-desv,c-duration,c-total-requests,c-success-num-requests,c-success-perc-requests,c-desv
100/10,121.4,17213.266666666666,17164.3,99.7054532799083,0.0,143.0,16985.1,16910.233333333334,99.55664579969856,0.0
200/10,206.96666666666667,24175.966666666667,23260.033333333333,96.19453985231755,0.0,158.96666666666667,20923.433333333334,19944.933333333334,95.32105431985072,0.0
400/10,478.23333333333335,35880.066666666666,32606.733333333334,90.84752060063184,0.0,189.36666666666667,27989.866666666665,25004.566666666666,89.29254948186977,0.0
600/10,721.2333333333333,40957.96666666667,35492.1,86.64856663600955,0.0,217.53333333333333,36149.5,30803.866666666665,85.19278067029246,0.0
800/10,865.2,43525.46666666667,35918.23333333333,80.1718251304138,0.0,227.63333333333333,39282.933333333334,32013.5,81.45626659687748,0.0
1000/10,949.0666666666667,49516.166666666664,39703.333333333336,80.16867913253243,0.0,234.33333333333334,41849.4,32675.933333333334,78.02403332549274,0.0
