# Users,Ramp,Machine,Duration,Total requests,Success requests,Success percent
1000,10,vm,736,53118.0,42999.0,80.94996046537896
1000,10,vm,1124,49998.0,39525.0,79.05316212648506
1000,10,vm,893,49482.0,39643.0,80.11600177842448
1000,10,vm,1030,51419.0,40974.0,79.68649720920283
1000,10,vm,1015,46244.0,36476.0,78.87725975261655
1000,10,vm,969,49217.0,39797.0,80.86027185728508
1000,10,vm,1006,49351.0,39476.0,79.99027375331806
1000,10,vm,1208,51492.0,41074.0,79.76773090965587
1000,10,vm,1182,52601.0,42621.0,81.02697667344728
1000,10,vm,957,50196.0,40388.0,80.46059446967885
1000,10,vm,845,50274.0,40321.0,80.20249035286629
1000,10,vm,1426,49893.0,39507.0,79.18345258853948
1000,10,vm,1069,54389.0,44053.0,80.99615731122103
1000,10,vm,974,47455.0,38084.0,80.25287114108103
1000,10,vm,1187,48089.0,38021.0,79.06381916862485
1000,10,vm,706,47309.0,37770.0,79.83681751886533
1000,10,vm,800,50600.0,40913.0,80.85573122529644
200,10,container,166,21344.0,20312.0,95.16491754122939
200,10,container,160,21538.0,20541.0,95.37097223511932
200,10,container,165,22434.0,21305.0,94.96746010519747
200,10,container,163,20556.0,19602.0,95.35901926444834
200,10,container,160,20847.0,19877.0,95.34705233366911
200,10,container,159,19662.0,18996.0,96.6127555691181
200,10,container,161,21194.0,20125.0,94.95611965650656
200,10,container,158,21648.0,20564.0,94.99260901699927
200,10,container,164,21875.0,20886.0,95.47885714285714
200,10,container,167,22275.0,21269.0,95.48372615039281
200,10,container,152,18470.0,17453.0,94.4937736870601
200,10,container,158,20237.0,19268.0,95.21174087068242
200,10,container,166,21408.0,20534.0,95.91741405082212
200,10,container,159,21078.0,20001.0,94.89040705949331
200,10,container,162,21336.0,20364.0,95.44431946006749
200,10,container,160,22453.0,21442.0,95.49726094508529
200,10,container,160,22250.0,21211.0,95.33033707865168
200,10,container,155,20414.0,19425.0,95.15528558832175
200,10,container,164,20530.0,19817.0,96.52703360935217
200,10,container,164,21566.0,20518.0,95.14049893350645
200,10,container,169,22968.0,21813.0,94.97126436781609
200,10,container,168,24021.0,22938.0,95.49144498563757
200,10,container,162,20861.0,19849.0,95.14884233737597
200,10,container,165,23449.0,22341.0,95.27485180604717
200,10,container,122,13301.0,12603.0,94.75227426509285
200,10,container,155,19562.0,18589.0,95.0260709538902
200,10,container,128,14870.0,14255.0,95.86415601882986
200,10,container,157,22744.0,21706.0,95.43615898698557
200,10,container,163,22370.0,21323.0,95.31962449709432
200,10,container,157,20442.0,19421.0,95.00538107817239
200,10,vm,157,24193.0,23480.0,97.05286653164138
200,10,vm,165,23434.0,22629.0,96.56482034650507
200,10,vm,241,25087.0,24045.0,95.84645433890063
200,10,vm,262,25630.0,24646.0,96.16074912212251
200,10,vm,183,23713.0,22736.0,95.87989710285497
200,10,vm,161,23058.0,22282.0,96.63457368375401
200,10,vm,207,22828.0,21725.0,95.16821447345366
200,10,vm,197,26431.0,25483.0,96.41330256138625
200,10,vm,240,24286.0,23315.0,96.00181174339126
200,10,vm,172,24731.0,23970.0,96.92289029962396
200,10,vm,503,25792.0,24546.0,95.16904466501241
200,10,vm,180,24468.0,23595.0,96.43207454634624
200,10,vm,184,24696.0,23753.0,96.18156786524133
200,10,vm,177,22666.0,21844.0,96.37342274772787
200,10,vm,197,23784.0,22692.0,95.40867810292633
200,10,vm,205,25118.0,24304.0,96.75929612230273
200,10,vm,176,23812.0,23006.0,96.61515202418948
200,10,vm,212,23366.0,22386.0,95.80587177950869
200,10,vm,179,24362.0,23555.0,96.68746408340859
200,10,vm,207,23430.0,22506.0,96.05633802816901
200,10,vm,202,26691.0,25904.0,97.05144056048856
200,10,vm,183,25225.0,24455.0,96.94747274529237
200,10,vm,230,24189.0,23101.0,95.50208772582579
200,10,vm,158,24344.0,23547.0,96.72609267170556
200,10,vm,168,25483.0,24704.0,96.94306007926853
200,10,vm,245,22441.0,21344.0,95.11162604162026
200,10,vm,243,21480.0,20272.0,94.37616387337057
200,10,vm,209,22175.0,21250.0,95.82863585118376
200,10,vm,165,23238.0,22440.0,96.56596953266202
200,10,vm,201,25128.0,24286.0,96.64915631964342
400,10,container,162,18075.0,16089.0,89.01244813278008
400,10,container,186,27019.0,23890.0,88.41926052037455
400,10,container,189,29565.0,26462.0,89.50448165060037
400,10,container,178,26143.0,23413.0,89.5574341123819
400,10,container,225,32437.0,29509.0,90.97327126429694
400,10,container,186,28539.0,25430.0,89.10613546375136
400,10,container,195,30641.0,27408.0,89.448777781404
400,10,container,191,27864.0,24667.0,88.52641401091013
400,10,container,173,25040.0,22006.0,87.88338658146965
400,10,container,179,26455.0,23411.0,88.4936684936685
400,10,container,198,29598.0,26390.0,89.16142982633961
400,10,container,179,27341.0,24243.0,88.66903185691818
400,10,container,213,31343.0,28165.0,89.86057492901126
400,10,container,191,31084.0,27840.0,89.56376270750225
400,10,container,188,27880.0,24689.0,88.55451936872309
400,10,container,192,25822.0,23352.0,90.43451320579351
400,10,container,176,26088.0,23146.0,88.72278442195646
400,10,container,199,30457.0,27180.0,89.24056867058476
400,10,container,194,31186.0,27940.0,89.59148335791701
400,10,container,187,28661.0,25635.0,89.44209901957363
400,10,container,183,24791.0,22440.0,90.51671977733855
400,10,container,200,31571.0,28277.0,89.56637420417472
400,10,container,197,27343.0,24536.0,89.73411842153385
400,10,container,155,17972.0,15833.0,88.0981526819497
400,10,container,201,32144.0,28875.0,89.8301393728223
400,10,container,202,31668.0,28311.0,89.39939370973853
400,10,container,164,19475.0,17392.0,89.30423620025674
400,10,container,196,31025.0,27772.0,89.51490733279613
400,10,container,188,27718.0,24614.0,88.8015008297857
400,10,container,214,34751.0,31222.0,89.84489654973957
400,10,vm,235,35733.0,32866.0,91.97660425936809
400,10,vm,516,35602.0,32200.0,90.44435705859222
400,10,vm,659,36260.0,32628.0,89.9834528405957
400,10,vm,246,36488.0,33457.0,91.69315939486954
400,10,vm,644,36369.0,32877.0,90.39841623360554
400,10,vm,627,34789.0,31346.0,90.10319353818736
400,10,vm,655,36620.0,33095.0,90.37411250682688
400,10,vm,659,38030.0,34479.0,90.66263476202998
400,10,vm,249,35649.0,32432.0,90.97590395242503
400,10,vm,246,35487.0,32458.0,91.46447995040437
400,10,vm,660,36075.0,32589.0,90.33679833679834
400,10,vm,241,36572.0,33672.0,92.07043639943126
400,10,vm,650,34366.0,30800.0,89.62346505266834
400,10,vm,523,35372.0,32018.0,90.51792378152211
400,10,vm,229,35808.0,32812.0,91.6331546023235
400,10,vm,260,36122.0,33213.0,91.94673606112619
400,10,vm,231,36906.0,34098.0,92.39148105999024
400,10,vm,666,36194.0,32669.0,90.26081670995192
400,10,vm,273,36428.0,33307.0,91.43241462611178
400,10,vm,617,36314.0,32886.0,90.56011455636944
400,10,vm,575,37693.0,34249.0,90.86302496484758
400,10,vm,450,36209.0,32911.0,90.8917672401889
400,10,vm,614,35072.0,31635.0,90.20015967153284
400,10,vm,1348,30015.0,26132.0,87.0631350991171
400,10,vm,259,35676.0,32661.0,91.5489404641776
400,10,vm,251,36592.0,33678.0,92.0365107127241
400,10,vm,237,36157.0,33178.0,91.76093149321017
400,10,vm,267,37625.0,34634.0,92.05049833887043
400,10,vm,633,35955.0,32480.0,90.33514114865804
400,10,vm,627,34224.0,30742.0,89.82585320243105
600,10,container,223,37387.0,31945.0,85.44413833685506
600,10,container,219,32624.0,28086.0,86.08999509563512
600,10,container,221,37449.0,32022.0,85.50829127613554
600,10,container,219,35788.0,30413.0,84.98099921761484
600,10,container,216,35012.0,29592.0,84.5195932823032
600,10,container,218,36212.0,30819.0,85.10714680216503
